userName,content,score
Pengguna Google,Aplikasi mantap,5
Pengguna Google,Aplikasi mempermudah kita untuk menikmatk kopi asli indonesia..... Keren..,5
Pengguna Google,"Aplikasi dengan penampilan menarik, pemakaiannya juga mudah dan gak ribet.. Cocok buat anak2 kuliahan yang gak suka nunggu lama buat mesen kopi...",5
Pengguna Google,"Rasa kopinya bener bener beda dan punya cita rasa tersendiri,saya senang ada sensasi di lidah rasanya",5
Pengguna Google,"kopi kenangan ini beda dari kopi yg lain, rasanya selalu membuat kenangan yang tak terlupakan seperti saat indah bersama dia, slalu tak tergantikan dengam rasa apapun😍",5
Pengguna Google,Kopi kenangan.... Mantaaap pesen kopi lebih mudah dan praktis... Kopi kenangan akan selalu kukenang....,5
Pengguna Google,Kopi kenangan selalu membuat kenangan... Antara aku dan doi. Nikmat kopinya selalu mengingatkan aku ke doi,5
Pengguna Google,Semakin mudah buat order dan lihat menunya 💕,5
Pengguna Google,"Aplikasi ini sangat bermanfaat sekali dan mudah digunakan, sukses selalu deh",5
Pengguna Google,Aplikasi tolol.. Uda di update.. Uda masuk akun.. pas di close.. minta update lagi. Update lagi..,1
Pengguna Google,"Aplikasi ini sangat bagus dan keren,, kita bisa langsung pesan dan jika kita pesan pke aplikasi ini pesanan kita selalu diutamakan jdi cepet banget,, suka banget deh sma ni aplikasi,, sukses terus kopi kenangan dan tambah varian rasa baru lagi ya...",5
Pengguna Google,"Aplikasi yang keren, menarik dan mudah di gunakannya 👍👍👍",5
Pengguna Google,Dengan ada nya aplikasi kopi kenangan ini lebih di permudah buat pesanan nya... Terimakasih kopi kenangan,5
Pengguna Google,"Mantap, dengan aplikasi ini gak perlu repot kesana kesini cari warkop, tinggal pesen, duduk manis, 🤩🤩",5
Pengguna Google,Aplikasinya sangat membantu banget kalau mau pesan minuman tanpa ngantri2 lagi,5
Pengguna Google,"Kopi kenangan adalah the best part ketika senja hadir, aromanya yang sangat khas membuat saya sulit untuk move on ke kopi yang lain❤",5
Pengguna Google,"Ga ribet ribet antri buat dapetin kopi kenangan lewat aplikasi ini, berguna bgt aplikasinya, harganya juga terjangkau. Mantaaap 🙂",5
Pengguna Google,"Aplikasinya keren banget, sangat user friendly mudah digunakan dan menu nya sangat interaktif. Informasi tentang lokasi tempatnya juga sangat jelas.",5
Pengguna Google,Aplikasinya bagus. Memudahkan untuk pesan kopi 👍,5
Pengguna Google,"Keren banget bisnis minuman sampe buat aplikasinya sendri buat memudahkan para cust, salute!",5
Pengguna Google,Sangat bagus sekali,5
Pengguna Google,"Aplikasinya unik, fleksibel, mudah di gunakan, dan bisa dapet kopi gratis 😁 sukses trus buat Kopi Kenangan 😘",5
Pengguna Google,Tampilan lebih baik,5
Pengguna Google,suka sm aplikasi ini jd lbh cpt dlm pemesanan sukses terus kopi kenangan agat selalu di kenang,5
Pengguna Google,"Dari namanya aja udah bikin penasaran,apalagi udah pake,aplikasinya mudah di gunakan,simple,bahasa yang di pake juga unik,kekiniaan,Siiip.",5
Pengguna Google,Aplikasi yang recommended banget buat para pecinta kopi👌🏻,5
Pengguna Google,"Sangat mempermudah saya untuk beli kopi kenangan. Kopi terenak yg pernah saya cobain, kalian semua hrs cobain dan gunain aplikasinya karna easy to use!",5
Pengguna Google,"Loveee lovee it paling demen ngopi ngopi cantik disini harganya pas sebanding bgt sama rasa nya , paling suka order yg kopi mantan menikah wkwkkw namanya kocak tapi itu yg bikin kopi kenangan beda sama kupi""lain di indonesia heheh love it💕",5
Pengguna Google,"Seneng banget sekarang Kopi Kenangan ada aplikasinya, jadi tambah mudah pesen bisa lewat aplikasi, cepat, mudah dan gampang, apalgi ada vouchernya bikin mantap😊😊",5
Pengguna Google,"suka banget dengan aplikasinya, jadi pesan kopi ngga perlu ribet lagi, cukup pesan lewat aplikasi, tunggu kopinya datang. beres deh",5
Pengguna Google,Mantap,5
Pengguna Google,"Variasi kopinya enak enaaak, cocok banget apalagi buat temen lembur di kantor",5
Pengguna Google,Aplikasi masih banyak bug. Apakah points bisa buat beli?,3
Pengguna Google,Ga perlu ngantri lagi..cukup lewat aplikasi.,5
Pengguna Google,Aplikasi yang sangat mudah di gunakan. Jadi mudah untuk memilihi pesanan,5
Pengguna Google,aplikasinya bagus dan sangat bermanffaat untuk para jomblo hehe nice good,5
Pengguna Google,Mantapp..terbaik untuk pecinta kopi..,5
Pengguna Google,"bagus aplikasinya sangat membantu apabila ingin memesan minumqn di store, jadi gak perlu antri lagi.",5
Pengguna Google,Mantap,5
Pengguna Google,kopi kenangan* kopi yang mantap dan nikmat. serasa ngopi bareng mantan. sruputnya muantabbbzzz,5
Pengguna Google,"Bagus banget aplikasi ini sangat membantu bagi saya yg hobby ngopi, udah gitu bisa order via store jadi nggak perlu ngantri lagi.",5
Pengguna Google,"aplikasi bagus, unik, gak oerlu harus berdiri antri panjang di depan outlet hanya untuk pesanan. gak menghabiskan waktu dan tenaga banyak",5
Pengguna Google,"kode reff nya di bagian mana wak. ada di kasih kode refferal, tp gk tau mau di masukin ke mana buat redem nya.",2
Pengguna Google,Mantap,5
Pengguna Google,Good aplikasinya cocok bagi paracandu ngopi salam dari kopi Edos,5
Pengguna Google,Suka banget sama kopi kenangan💚 rasanya yang mantap dan bikin nagih. Sekarang mau pesen jadi lebih mudah karna ada aplikasinya 👍,5
Pengguna Google,Lebih siimpel dan harganya pun terjangkau,5
Pengguna Google,"Keren si ini aplikasi gampang cara makenya, di prioritsin klo make apk ini apalagi fitur gratisan nya hhehee",5
Pengguna Google,Mantap lah pokok nya kopi nya bisa banget buat dikenang ... sukses ya buat kopi kenangan! Aku suka aku suka q suka,5
Pengguna Google,Bagus...,5
Pengguna Google,Sangat bagus mau pesan jadi gak ribet ada pengumpulan poin pula setiap pembelian .pesan lwat aplikasi jg gak harus ngantri.,5
Pengguna Google,Aplikasi pesan kopi yang kekinian dan sangat mudah proses pendaftaran dan sangat mudah pemakaian aplikasinya serta ada gratisan juga.,5
Pengguna Google,"Aplikasi yang sangat membatu banget, unik bisa makin mudah untuk pemesanan",5
Pengguna Google,Aplikasi keren wajib coba.. Paling suka es kopi teh andi lau.. Pemesanan mudah Pembayaran bisa pake ovo dan go pay 🤗,5
Pengguna Google,Aplikasi nya lumayan membantu jadi tidak ikut antri tinggal pesan lalu datang,5
Pengguna Google,Ok,5
Pengguna Google,Gilaaa beli kopi jd enak gampang udah gitu banyak bgt promo nya 😍 sukaaaa bangeeets😍,5
Pengguna Google,Memudahkan dalam pemesanan,5
Pengguna Google,"Apk sangat membantu,mempermudah ga usah cape cape keluar rumah dan antri lagi .",5
Pengguna Google,"Okkeee, tampilannya bagus. Tinggal klik aplikasinya. Jadi gampang pesen minuman, ga pake antri.",5
Pengguna Google,kopinya enak waktu fleksibel cepat pemrosesan mudah pembayaran mudah enak pokoknya bisa order juga good,5
